Grant Name,Geographic Area,Youth Focus,PDF Links,Brief Summary,Deadline,Source Link
"Grants for Civil Society Organizations in the MENA Region, Minority Rights Group. *Closing soon!*","Lebanon, Tunisia, Morocco and Palestine.",None,,"Now accepting applications for advocacy grants and core funding grants. These grants are available for Human Rights Civil Society Organizations (CSOs) aim to maximize the attention toward the situation of minorities and marginalized communities in the target countries, and that want to invest in their organizational development, organizational infrastructures or to effectively develop their institutional capacity.","May 4, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-b0a
"Sustainable Protection Fund: Open Call for Applications from SWANA 2025, The Digital Defenders Partnership (DDP). *Closing soon!*","Algeria, Egypt, Jordan, Lebanon, Libya, Morocco, Palestine, Syria, Tunisia, and Yemen.",None,,"Invites human rights organizations and collectives from the SWANA region (Southwest Asia and North Africa) to apply for the Sustainable Protection Fund. This fund supports long-term digital security capacity building. The fund prioritizes organizations and collectives working on: Media and freedom of expression, Civil and political rights, Feminist and LGBTQ+ movements.","May 7, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-b0a
"Regional Partnership Fund: Open Call for Applications from SWANA 2025, The Digital Defenders Partnership (DDP). *Closing soon!*","Algeria, Egypt, Jordan, Lebanon, Libya, Morocco, Palestine, Syria, Tunisia, and Yemen.",None,,"Through this fund, DDP provides to support organizations and collectives working to advance internet freedom and protect human rights defenders (HRDs) from a holistic perspective. They welcome a wide range of initiatives that strengthen digital rights and support HRDs at risk. Funded activities may include (but are not limited to): Ensuring internet access during shutdowns, slowdowns, censorship, or infrastructure disruption, Providing digital security training, accompaniment, or broader protection support to HRDs, Offering technical expertise such as digital forensic analysis, secure hosting, or other vital services for civil society, Engaging in advocacy and lobbying efforts to defend digital rights and online freedom, Covering core costs for high-impact organizations or collectives with limited access to other funding.","May 7, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-b0a
"Call for Proposals: Transforming Patriarchal Masculinities through Youth (UN Women Morocco, UNW-AS-MAR‑CFP‑2025‑001), UN Women Arab States. *Closing soon!*",Morocco (national level),Youth,,"UN Women Morocco is recruiting a national human rights organization to lead a youth-centered initiative to transform patriarchal masculinities and shift harmful gender norms. The program focuses on empowering young people—especially boys and men—through peer-led advocacy, arts, storytelling, and local campaigns. This national-level initiative is part of the regional Dare to Care strategy and emphasizes long-term behavior change, community mobilization, and gender rights integration.","September 12, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-870
"Good Practices for Increased Autonomy of Persons with Disabilities, European Commission. *Closing soon!*","Europe and Horizon associated countries (Albania, Armenia, Bosnia and Herzegovina, Canada, Faroe Islands, Georgia, Iceland, Israel, Kosovo, Moldova, Montenegro, New Zealand, North Macedonia, Norway, Serbia, Tunisia, Türkiye, Ukraine, United Kingdom).",Children; Students; Teens,,"Projects should contribute to some of the following expected outcomes (minimum three outcomes); 1. Develop innovative evidence-based policy approaches to promote the autonomy of persons with disabilities of any age and any origin of the disability or impairment; 2. Develop practices that facilitate the full inclusion and participation of persons with disabilities in different areas of life, including education, family life, employment, living arrangements, leisure, arts, culture and sport on equal basis with others; 3. Address the seamless use of accessible and assistive technology, including digital technologies and artificial intelligence, in the community and related services and infrastructure. If possible, identify specific measures and tools for different addressed areas of lives of persons with disabilities, such as education, recruitment, hiring, return to work, and independent life; 4. Identify and compare the usefulness of different options for policies and measures aiming to increase the autonomy and quality of life of persons with disabilities, as well as the quality of life and well-being of their families, using a person-centered approach, taking into account the individual needs of persons with disabilities and ensuring their full enjoyment of human rights and fundamental freedoms on equal basis with others; 5. Identify relevant actors to achieve effective results (public actors, civil society organizations, private sector, social economy actors, etc.) and explore their roles and interaction, with a view to assessing integration among different social, support and essential services (including e.g. transport or housing) necessary to promote autonomy and inclusion in the community.","September 16, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-870
"Impact of the learning environment and the use of digital tools in everyday life on key skills and competence development, European Commission. *Closing soon!*","Europe and Horizon associated countries (Albania, Armenia, Bosnia and Herzegovina, Canada, Faroe Islands, Georgia, Iceland, Israel, Kosovo, Moldova, Montenegro, New Zealand, North Macedonia, Norway, Serbia, Tunisia, Türkiye, Ukraine, United Kingdom).",Children,,"Digital devices and tools are an integral part in the lives of children and teenagers as they grow. There is discussion about the impact of the use of digital tools in everyday life on children’s wellbeing (cognitive, emotional, social) and development, but the evidence is often piecemeal. Proposals should investigate the impact that the expansion and normalization of children’s use of digital technologies (including generative AI) in everyday life has on their learning, at a time in their lives when literacy and numeracy skills are developing, and during adolescence. Projects should contribute to all of the following expected outcomes: 1. Provide analyses of the impact of digital tools in everyday life on wellbeing and how children learn. 2. Provide analyses and evidence-based recommendations on how to provide opportunities for high quality education that uses digital technologies in ways that support the wellbeing of the school community (students, teachers and school leaders).","September 16, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-870
"Education Challenges, Sharjah Entrepreneurship Center. *New!*","Pilots must be implemented in the UAE (Sharjah),",Children,https://aics.portaleamministrazionetrasparente.it/moduli/downloadFile.php?file=oggetto_allegati/2518915152627632920O__Oguidelines_elissa_cfp_2025_01.pdf,"The Access Sharjah Challenge (ASC) invites global bold education startups to collaborate in shaping solutions for high-impact, real-world challenges within Sharjah’s two priority sectors: future-ready skills challenge and Arabic in early childhood challenge.","August 17, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-f41
"Local Economic Development Grant Program in Lebanon (ELISSA), Italian Agency for Development Cooperation (AICS). *New!* *Closing this month!*",Lebanon.,None,https://aics.portaleamministrazionetrasparente.it/moduli/downloadFile.php?file=oggetto_allegati/2518915152627632920O__Oguidelines_elissa_cfp_2025_01.pdf,"As part of the EU‑funded ELISSA initiative, AICS is seeking NGOs to lead participatory local economic development programs in Lebanese communities affected by the Syrian crisis. The fund will support capacity-building for Ministry‑recognized Social Development Centers (SDCs) and provide sub‑grants to local operators and CBOs to pilot inclusive, green livelihood initiatives.","August 25, 2025 (23:59 Lebanon Time).",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-f41
"U.S. Embassy Baghdad – Public Diplomacy Grants, U.S. Department of State. *New!* *Closing this month!*","Iraq, United States.",Youth,https://aics.portaleamministrazionetrasparente.it/moduli/downloadFile.php?file=oggetto_allegati/2518915152627632920O__Oguidelines_elissa_cfp_2025_01.pdf,"This annual program supports initiatives that deepen cultural, educational, or civic ties between Iraq and the United States. Projects must feature a clear American connection, whether through content, experts, or partnerships, and aim to strengthen bilateral understanding. Eligible applicants include nonprofit organizations, think tanks, and educational institutions from Iraq or the U.S..","August 30, 2025.",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-f41
"MEL Partner – Educate A Child (EAC) Multi-Country Initiative, UNHCR. *New!* *Closing soon!*","Chad, Kenya, Pakistan, Uganda, Syria.",None,,"UNHCR seeks a Monitoring, Evaluation, and Learning (MEL) partner for its Educate a Child (EAC) program, supporting refugee learners across Chad, Kenya, Pakistan, Uganda, and Syria. The selected partner will design and implement an integrated MEL system spanning baseline, midline, and endline assessments; quarterly monitoring and learning reviews; and tailored capacity building. This initiative addresses education access barriers in crisis-affected areas, aiming to foster inclusive, equitable learning environments for displaced children through real-time evidence use and adaptive program management.","December 12, 2025",https://impactfunding.substack.com/p/education-human-rights-and-inclusion-a9f
