title,detail_page_url,donor_name,deadline,focus_sector,geographic_area
"Employment-Intensive Investment Programme (EIIP) Workshop in Duhok, Iraq",https://darpe.me/darpe-entries/employment-intensive-investment-programme-eiip-workshop-in-duhok-iraq/,ILO,25 Mar 2026,"Economic Growth, Events management",Iraq
"Seminar package, event management services Tunisia Office – JPRWEE Project 2026",https://darpe.me/darpe-entries/seminar-package-event-management-services-tunisia-office-jprwee-project-2026/,UN Women,31 Mar 2026,"Women Rights and Empowerment, Events management",Tunisia
"Consultancy Services for the Development, Design, and Documentation of Communications and Advocacy Tools for Just Transition in Jordan",https://darpe.me/darpe-entries/consultancy-services-for-the-development-design-and-documentation-of-communications-and-advocacy-tools-for-just-transition-in-jordan-2/,ILO,23 Mar 2026,"Economic Growth, Environment and Energy, Advocacy and awareness raising, Media and communication",Jordan
Single Source Justification : Attorney service – Kuwait Buffer Zone Land Rights Registration,https://darpe.me/darpe-entries/single-source-justification-attorney-service-kuwait-buffer-zone-land-rights-registration/,United States Embassy,09 Apr 2026,"Democratic Governance, Legal Services",Kuwait
"Development of a Climate-Related Disaster Risk Reduction Plan for Damietta, Egypt",https://darpe.me/darpe-entries/development-of-a-climate-related-disaster-risk-reduction-plan-for-damietta-egypt/,UNDP,26 Mar 2026,"Climate Change and Global Warming, Environment and Energy, Environmental Services, Institutional Strengthening",Egypt
"Multiple workshops and Trainings for the WHO that will be held in Amman & Irbid, Jordan from 14 April 2026 to 30 July 2026",https://darpe.me/darpe-entries/multiple-workshops-and-trainings-for-the-who-that-will-be-held-in-amman-irbid-jordan-from-14-april-2026-to-30-july-2026/,WHO,25 Mar 2026,"Health, Events management",Jordan
THAMM+ International Consultancy Firm to conduct an Operational Review,https://darpe.me/darpe-entries/thamm-international-consultancy-firm-to-conduct-an-operational-review/,ILO,24 Mar 2026,"Social Development, Research and assessment","Egypt, Morocco, Tunisia"
Call for External Collaborator _ Development of a Just Transition Finance Strategy Outline for Jordan,https://darpe.me/darpe-entries/call-for-external-collaborator-_-development-of-a-just-transition-finance-strategy-outline-for-jordan/,ILO,23 Mar 2026,"Economic Growth, Financial Management Services",Jordan
Call for External Collaborator_Support to GFJTU in Developing a Workers’ Position Paper on Just Transition and NDC 3.0,https://darpe.me/darpe-entries/call-for-external-collaborator_support-to-gfjtu-in-developing-a-workers-position-paper-on-just-transition-and-ndc-3-0/,ILO,23 Mar 2026,"Economic Growth, Research and assessment",Jordan
Call for External Collaborator_Support to the Jordan Chamber of Industry (JCI) in Developing an Employers’ Position Paper on Just Transition and NDC 3.0,https://darpe.me/darpe-entries/call-for-external-collaborator_support-to-the-jordan-chamber-of-industry-jci-in-developing-an-employers-position-paper-on-just-transition-and-ndc-3-0/,ILO,23 Mar 2026,"Economic Growth, Research and assessment",Jordan
Call for External Collaborator_Technical Support for Developing a Resource Efficiency / Waste Management Partnership,https://darpe.me/darpe-entries/call-for-external-collaborator_technical-support-for-developing-a-resource-efficiency-waste-management-partnership/,ILO,23 Mar 2026,"Waste Management, Business Development, Feasibility studies",Jordan
"Sector-Wide Cybersecurity, Business Continuity, Framework & Policy Development",https://darpe.me/darpe-entries/sector-wide-cybersecurity-business-continuity-framework-policy-development-2/,World Bank,30 Mar 2026,"Information Communication and Technology, Institutional Strengthening",Palestine
