title,detail_page_url,donor_name,deadline,focus_sector,geographic_area,pdf_links,source_link,original_link,full_description
"Mapping of Women, Peace and Security Actors and Initiatives in Sudan",https://darpe.me/darpe-entries/mapping-of-women-peace-and-security-actors-and-initiatives-in-sudan/,UNDP,23 Mar 2026,"Women Rights and Empowerment, Research and assessment",Sudan,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Mapping of Women, Peace and Security Actors and Initiatives in Sudan Mapping of Women, Peace and Security Actors and Initiatives in Sudan Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Mapping of Women, Peace and Security Actors and Initiatives in Sudan Description Details Title: Mapping of Women, Peace and Security Actors and Initiatives in Sudan Type: Tender Donor: UNDP Status: Accepting Bids Deadline: 23 Mar 2026 Duration: 55 working days over 12 Weeks Locations: Sudan Sectors: Women Rights and Empowerment Sub sectors: Political participation, Women Leadership Type of Services: Research and assessment Sub Services: Mapping Studies Attachments: Link to original Reference Number UNDP-SDN-00469 Post Date 09 Mar 2026 Contact information UNDP Profile Suggested Relevant Partners (per Country, Sector, and Service) Edmaaj Category: Consulting Firm Headquarters: Jordan 60 Decibels Category: Consulting Firm Headquarters: United States Levante International Development Category: Consulting Firm Headquarters: United Kingdom SREO Consulting Category: Consulting Firm Headquarters: Turkey Alinea International Category: Consulting Firm Headquarters: Canada Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Ali Abdo Years of experience: 18 Citizenship: Egypt Shirin Husseini Years of experience: 18 Citizenship: Netherlands, Palestine Osman Husain Years of experience: 8 Citizenship: Sudan Dr. Mohamed Hegazy Years of experience: 20 Citizenship: Egypt Dr. Tatyana El-Kour Years of experience: 25 Citizenship: Jordan Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Technical Assistance towards Developing a Strategy of Construction and Demolition Waste (C&DW) Management According to EU Circular Economy Package and Its Implementation (StraCDW),https://darpe.me/darpe-entries/technical-assistance-towards-developing-a-strategy-of-construction-and-demolition-waste-cdw-management-according-to-eu-circular-economy-package-and-its-implementation-stracdw/,European Commission,03 Apr 2026,"Waste Management, Engineering services, Environmental Services, Institutional Strengthening",Turkey,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Technical Assistance towards Developing a Strategy of Construction and Demolition Waste (C&DW) Management According to EU Circular Economy Package and Its Implementation (StraCDW) Technical Assistance towards Developing a Strategy of Construction and Demolition Waste (C&DW) Management According to EU Circular Economy Package and Its Implementation (StraCDW) Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Technical Assistance towards Developing a Strategy of Construction and Demolition Waste (C&DW) Management According to EU Circular Economy Package and Its Implementation (StraCDW) Description Details Title: Technical Assistance towards Developing a Strategy of Construction and Demolition Waste (C&DW) Management According to EU Circular Economy Package and Its Implementation (StraCDW) Type: Tender Donor: European Commission Status: Accepting Bids Deadline: 03 Apr 2026 Duration: 24 Months Value: 2,275,000,00 EUR Locations: Turkey Sectors: Waste Management Sub sectors: Circular Economy Type of Services: Engineering services, Environmental Services, Institutional Strengthening Sub Services: Architecture and urban planning, Construction management, Environmental Impact and Social Assessment, Strategic Planning Attachments: Link to original Post Date 05 Mar 2026 Modified Date 09 Mar 2026 Contact information European Commission Profile Suggested Relevant Partners (per Country, Sector, and Service) EcoConsulting Category: Consulting Firm Headquarters: Lebanon, United Kingdom BOTEK Bosphorus Technical Consulting Inc. Category: Consulting Firm Headquarters: Turkey Beyond Group Category: Consulting Firm Headquarters: Cyprus, Georgia, Germany, Lebanon DEKONTA Category: Consulting Firm Headquarters: Czech Republic GKW Consult Category: Consulting Firm Headquarters: Germany Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Mohamad El Bakri Years of experience: 13 Citizenship: Lebanon Ali Abdo Years of experience: 18 Citizenship: Egypt Dr. Mohamed Hegazy Years of experience: 20 Citizenship: Egypt Ayman Hegazy Years of experience: 20 Citizenship: Egypt Faisal Awartani Years of experience: 27 Citizenship: Palestine Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 5th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
La Surveillance Bio-Comportementale de Populations-clés (IBBS IST/VIH),https://darpe.me/darpe-entries/la-surveillance-bio-comportementale-de-populations-cles-ibbs-ist-vih/,UNDP,22 Mar 2026,"Health, Research and assessment",Algeria,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"La Surveillance Bio-Comportementale de Populations-clés (IBBS IST/VIH) La Surveillance Bio-Comportementale de Populations-clés (IBBS IST/VIH) Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership La Surveillance Bio-Comportementale de Populations-clés (IBBS IST/VIH) Description Details Title: La Surveillance Bio-Comportementale de Populations-clés (IBBS IST/VIH) Type: Individual Donor: UNDP Status: Accepting Bids Deadline: 22 Mar 2026 Duration: 60 jours sur 8 mois Locations: Algeria Sectors: Health Sub sectors: HIV prevention and support Type of Services: Research and assessment Sub Services: Socio-economic surveys, Statistical research Attachments: Link to original Reference Number UNDP-DZA-00264 Post Date 09 Mar 2026 Contact information UNDP Profile Suggested Individual Consultants (per Country, Sector, and Service) Dr. Mohamed Hegazy Years of experience: 20 Citizenship: Egypt Dr. Tatyana El-Kour Years of experience: 25 Citizenship: Jordan Faisal Awartani Years of experience: 27 Citizenship: Palestine Amjad Mohammed Idries Years of experience: 20 Citizenship: Sudan Jamal Atamneh Years of experience: 20 Citizenship: Palestine Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Conduct training sessions within the “Strengthening Community Participation and Empowering Local Leadership” project,https://darpe.me/darpe-entries/conduct-training-sessions-within-the-strengthening-community-participation-and-empowering-local-leadership-project/,Atfaluna Society For Deaf Children,15 Mar 2026,"Health, Capacity building and training",Palestine,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Conduct training sessions within the “Strengthening Community Participation and Empowering Local Leadership” project Conduct training sessions within the “Strengthening Community Participation and Empowering Local Leadership” project Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Conduct training sessions within the “Strengthening Community Participation and Empowering Local Leadership” project Description Details Title: Conduct training sessions within the “Strengthening Community Participation and Empowering Local Leadership” project Type: Individual Donor: Atfaluna Society For Deaf Children Status: Accepting Bids Deadline: 15 Mar 2026 Locations: Palestine Sectors: Health Sub sectors: Mental Health, Reproductive health Type of Services: Capacity building and training Attachments: Post Date 09 Mar 2026 Contact information Atfaluna Society For Deaf Children Profile Suggested Individual Consultants (per Country, Sector, and Service) Dr. Tatyana El-Kour Years of experience: 25 Citizenship: Jordan Sana’ Elhennawi Years of experience: 35 Citizenship: Jordan Sara Formisano Years of experience: 20 Citizenship: Italy Iyad Ahmad Harasheh Years of experience: 24 Citizenship: Palestine Faisal Awartani Years of experience: 27 Citizenship: Palestine Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Branding and Communication Services,https://darpe.me/darpe-entries/branding-and-communication-services/,"Federation of Palestinian Chambers of Commerce, Industry and Agriculture (FPCCIA)",17 Mar 2026,"Economic Growth, Marketing Services, Media and communication",Palestine,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Branding and Communication Services Branding and Communication Services Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Branding and Communication Services Description Details Title: Branding and Communication Services Type: Tender, Individual Donor: Federation of Palestinian Chambers of Commerce, Industry and Agriculture (FPCCIA) Status: Accepting Bids Deadline: 17 Mar 2026 Duration: 8 – 10 weeks Locations: Palestine Sectors: Economic Growth Sub sectors: Business and investment support, Private sector competitiveness Type of Services: Marketing Services, Media and communication Sub Services: Branding services, Media and Communication Strategy Development Attachments: Post Date 09 Mar 2026 Contact information Federation of Palestinian Chambers of Commerce, Industry and Agriculture (FPCCIA) Profile Suggested Relevant Partners (per Country, Sector, and Service) Oyoun Media Category: Consulting Firm Headquarters: Palestine Yalla Cooperative Category: Consulting Firm Headquarters: United Kingdom MediaPlus Category: Consulting Firm Headquarters: Palestine Marcom Palestine Category: Consulting Firm Headquarters: Palestine Wamda Capital Category: Consulting Firm Headquarters: United Arab Emirates Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Jorge Cavero Redondo Years of experience: 25 Citizenship: Spain Iyad Ahmad Harasheh Years of experience: 24 Citizenship: Palestine Maha Gaad Years of experience: 15 Citizenship: United Kingdom Faisal Awartani Years of experience: 27 Citizenship: Palestine Ahmed Alkarriri Years of experience: 10 Citizenship: Palestine Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Appel à propositions: Renforcement de l’inclusion financière des femmes au Maroc,https://darpe.me/darpe-entries/appel-a-propositions-renforcement-de-linclusion-financiere-des-femmes-au-maroc/,Cospe,10 Apr 2026,"Women Rights and Empowerment, Financial Management Services",Tunisia,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Appel à propositions: Renforcement de l’inclusion financière des femmes au Maroc Appel à propositions: Renforcement de l’inclusion financière des femmes au Maroc Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Appel à propositions: Renforcement de l’inclusion financière des femmes au Maroc Description Details Title: Appel à propositions: Renforcement de l’inclusion financière des femmes au Maroc Type: Grant Donor: Cospe Status: Accepting Bids Deadline: 10 Apr 2026 Value: € 40,000 Locations: Tunisia Sectors: Women Rights and Empowerment Sub sectors: Economic empowerment , Social empowerment Type of Services: Financial Management Services Sub Services: Banking and financial services Attachments: Link to original Post Date 09 Mar 2026 Cospe Profile Suggested Relevant Partners (per Country, Sector, and Service) The Middle East Regional Technical Assistance Center (METAC) Category: National and Regional NGO Headquarters: Lebanon Enda inter-arabe Category: National and Regional NGO Headquarters: Tunisia EMHRF Category: International Organization Headquarters: Denmark Partners for Good Category: National and Regional NGO Headquarters: Jordan MEDA Category: International Organization Headquarters: Canada Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Hicham EL M’HAMDI EL ALAOUI Years of experience: 12 Citizenship: Morocco Faisal Awartani Years of experience: 27 Citizenship: Palestine Dr. Aicha El Alaoui Years of experience: 20 Citizenship: Morocco Serena Abi Khalil Years of experience: 10 Citizenship: Lebanon Maurice Mouawad Years of experience: 15 Citizenship: Lebanon Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Call for NED Grants Program,https://darpe.me/darpe-entries/call-for-ned-grants-program/,National Endowment for Democracy-NED,02 Jun 2026,"Democratic Governance, Human Rights, Advocacy and awareness raising, Community Development",MENA region,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Call for NED Grants Program Call for NED Grants Program Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Call for NED Grants Program Description Details Title: Call for NED Grants Program Type: Grant Donor: National Endowment for Democracy-NED Status: Accepting Bids Deadline: 02 Jun 2026 Locations: MENA region Sectors: Democratic Governance, Human Rights Sub sectors: Civic engagement participation and volunteerism, Civil society strengthening, Conflict prevention and peace building , Rule of Law, Transparency, Civil rights Type of Services: Advocacy and awareness raising, Community Development Sub Services: Peace-building services Attachments: Link to original Post Date 09 Mar 2026 Contact information National Endowment for Democracy-NED Profile Suggested Relevant Partners (per Country, Sector, and Service) Equality Now Category: International Organization Headquarters: United States ECOS Institute Category: International Organization Headquarters: United States Roots Category: International Organization Headquarters: Greece MICT International Category: International Organization Headquarters: Germany Swedish Peace and Arbitration Society (Svenska Freds) Category: National and Regional NGO Headquarters: Sweden Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Mohamad El Bakri Years of experience: 13 Citizenship: Lebanon Maram Anbar Years of experience: 20 Citizenship: Egypt, Spain Christophe Bernes Years of experience: 27 Citizenship: France Dr. Ebrahim Saleh Years of experience: 17 Citizenship: Canada Jorge Cavero Redondo Years of experience: 25 Citizenship: Spain Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Une agence/experts pour le développement de deux formations sous format E-learning,https://darpe.me/darpe-entries/une-agence-experts-pour-le-developpement-de-deux-formations-sous-format-e-learning/,FACE Tunisie,30 May 2026,"Social Development, Capacity building and training",Tunisia,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Une agence/experts pour le développement de deux formations sous format E-learning Une agence/experts pour le développement de deux formations sous format E-learning Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Une agence/experts pour le développement de deux formations sous format E-learning Description Details Title: Une agence/experts pour le développement de deux formations sous format E-learning Type: Tender, Individual Donor: FACE Tunisie Status: Accepting Bids Deadline: 30 May 2026 Locations: Tunisia Sectors: Social Development Sub sectors: Special programs for People with Special Needs, Support the vulnerable and marginalized Type of Services: Capacity building and training Attachments: Post Date 09 Mar 2026 Contact information FACE Tunisie Profile Suggested Relevant Partners (per Country, Sector, and Service) Edmaaj Category: Consulting Firm Headquarters: Jordan Seefar Category: Consulting Firm Headquarters: China Madiba Consult Category: Consulting Firm Headquarters: Germany cscs.it Category: Consulting Firm Headquarters: Italy WeCodeForYou Category: Consulting Firm Headquarters: Egypt, United Kingdom, United States Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Maram Anbar Years of experience: 20 Citizenship: Egypt, Spain Ali Abdo Years of experience: 18 Citizenship: Egypt Christophe Bernes Years of experience: 27 Citizenship: France Dr. Ebrahim Saleh Years of experience: 17 Citizenship: Canada Mohamed Sakri Years of experience: 32 Citizenship: Tunisia Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Technical Advisory on Social Protection Observatory Architecture and Migrant-Inclusive Social Protection Monitoring in the GCC,https://darpe.me/darpe-entries/technical-advisory-on-social-protection-observatory-architecture-and-migrant-inclusive-social-protection-monitoring-in-the-gcc/,ILO,26 Mar 2026,"Refugees and Migration, Social Development, Monitoring and evaluation","Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates",[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Technical Advisory on Social Protection Observatory Architecture and Migrant-Inclusive Social Protection Monitoring in the GCC Technical Advisory on Social Protection Observatory Architecture and Migrant-Inclusive Social Protection Monitoring in the GCC Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Technical Advisory on Social Protection Observatory Architecture and Migrant-Inclusive Social Protection Monitoring in the GCC Description Details Title: Technical Advisory on Social Protection Observatory Architecture and Migrant-Inclusive Social Protection Monitoring in the GCC Type: Tender Donor: ILO Status: Accepting Bids Deadline: 26 Mar 2026 Duration: 12 months Locations: Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates Sectors: Refugees and Migration, Social Development Sub sectors: Refugee protection, Social protection policies Type of Services: Monitoring and evaluation Sub Services: Baseline studies Attachments: Link to original Reference Number rfx_5160_ROAS Post Date 09 Mar 2026 ILO Profile Suggested Relevant Partners (per Country, Sector, and Service) Edmaaj Category: Consulting Firm Headquarters: Jordan Optimal Project Management Category: Consulting Firm Headquarters: Turkey Impact Center Category: Consulting Firm Headquarters: Saudi Arabia Sayara Category: Consulting Firm Headquarters: United States Mindset Category: Consulting Firm Headquarters: Jordan Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Ghada Miftah Years of experience: 23 Citizenship: Lebanon Maram Anbar Years of experience: 20 Citizenship: Egypt, Spain Ali Abdo Years of experience: 18 Citizenship: Egypt Dr. Ebrahim Saleh Years of experience: 17 Citizenship: Canada John Andraos Years of experience: 15 Citizenship: Lebanon, United States Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 9th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
Digital Transformation and Basic Services,https://darpe.me/darpe-entries/digital-transformation-and-basic-services/,UNRWA,23 Mar 2026,"Humanitarian aid, ICT Solutions",Palestine,[],tel:Call Us +20 2 333 77 666,https://www.facebook.com/DARPEPlatform,"Digital Transformation and Basic Services Digital Transformation and Basic Services Call Us +20 2 333 77 666 info@darpe.me Login Join Us Tenders & Grants Organizations Experts Awards News Membership Digital Transformation and Basic Services Description Details Title: Digital Transformation and Basic Services Type: Tender, Individual Donor: UNRWA Status: Accepting Bids Deadline: 23 Mar 2026 Locations: Palestine Sectors: Humanitarian aid Sub sectors: Relief assistance and services Type of Services: ICT Solutions Sub Services: Digitalization Attachments: Link to original Post Date 05 Mar 2026 Modified Date 09 Mar 2026 Contact information UNRWA Profile Suggested Relevant Partners (per Country, Sector, and Service) WeCodeForYou Category: Consulting Firm Headquarters: Egypt, United Kingdom, United States Swibit Category: Consulting Firm Headquarters: Oman, Saudi Arabia, United Kingdom ISEET Category: Consulting Firm Headquarters: Jordan Integrated International Category: Consulting Firm Headquarters: Jordan DAI Category: Consulting Firm Headquarters: United States Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Suggested Individual Consultants (per Country, Sector, and Service) Faisal Awartani Years of experience: 27 Citizenship: Palestine Alawneh Mahir Years of experience: 21 Citizenship: Palestine Amal Shanty Years of experience: 15 Citizenship: Palestine Rana Handal Years of experience: 16 Citizenship: El Salvador, Palestine Mohammed Naser Years of experience: 19 Citizenship: Palestine Unlock this information Kindly upgrade your membership plan to access this feature. Sign In Join Us Comments off 5th March 2026 Advertisment Funding About DARPE Funding analysis visuals Country Market Analytics Reports Featured Organizations Frequently Asked Questions Sponsored Content Business Development About DARPE Tenders & Grants Organizations Experts Awards News Market Analytics Get Involved Membership Schedule a Demo Call Subscribe to our newsletter Contact us Careers Advertise Newsletter Advertising Contact us Copyright© 2026 DARPE All Rights Reserved. Disclaimer Statement , User Agreement , Frequently Asked Questions Join us Subscriber-only Content Kindly upgrade your membership plan to access this feature. Contact us » Schedule a Demo Call Translate » Close this module Join DARPE Become a member to uncover funding opportunities and discover future partners throughout the countries of the Middle East and North Africa region. Join us Schedule a Demo Call"
